ID,Query,Category,Entities,Seen,Notes
1,Fernseher,Fernseher,{},false,
2,fernseher 65 zoll,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
3,fernseher 55 zoll,Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""]}",false,
4,fernseher 75 zoll,Fernseher,"{""bildschirmgroesse"":[""75 - 79 Zoll""]}",false,
5,fernseher 85 zoll,Fernseher,"{""bildschirmgroesse"":[""gr\\u00f6\\u00dfer als 84 Zoll""]}",false,
6,fernseher 43 zoll,Fernseher,"{""bildschirmgroesse"":[""40 - 44 Zoll""]}",false,
7,fernseher 50 zoll,Fernseher,"{""bildschirmgroesse"":[""50 - 54 Zoll""]}",false,
8,fernseher 32 zoll,Fernseher,"{""bildschirmgroesse"":[""30 - 34 Zoll""]}",false,
9,fernseher 40 zoll,Fernseher,"{""bildschirmgroesse"":[""40 - 44 Zoll""]}",false,
10,fernseher tisch,Other,{},false,
11,fernseher samsung,Fernseher,"{""marke"":[""Samsung""]}",false,
12,fernseher 65 zoll,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
13,fernseher 65 zoll samsung,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
14,fernseher 65 zoll lg,Fernseher,"{""marke"":[""LG""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
15,fernseher 65 zoll oled,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""OLED""]}",false,
16,fernseher 65 zoll sony,Fernseher,"{""marke"":[""Sony""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
17,fernseher 65 zoll philips,Fernseher,"{""marke"":[""Philips""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
18,fernseher 65 zoll qled,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytechnologie"":[""QLED""]}",false,
19,fernseher 65 zoll android tv,Fernseher,"{""ausstattung"":[""Android TV""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",false,
