ID,Query,Category,Entities,Seen,Notes
871,ipad air 5 generation 2022 tablet,Tablets,"{""marke"":[""Apple""],""modellreihe"":[""iPad Air""]}",False,
349,notebook mit laufwerk integriert,Laptops,{},False,
9,fernseher 40 zoll,Fernseher,"{""bildschirmgroesse"":[""40 - 44 Zoll""]}",False,
309,Notebook,Laptops,{},False,
12,fernseher 65 zoll,Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""]}",False,
320,notebook 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",False,
467,iphone 14 pro max,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 14""]}",False,
414,chromebook flip touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",False,
850,ipad pro 2022,Tablets,"{""marke"":[""Apple""],""modellreihe"":[""iPad Pro""]}",False,
1089,desktop pc windows,Computer,"{""betriebssystem"":[""Windows""]}",False,
781,tablet 12 zoll,Tablets,"{""bildschirmgroesse"":[""12 Zoll""]}",False,
1144,gaming computer komplettset 32 gb ram,Computer,"{""zubehoerfuer"":[""Gaming""],""arbeitsspeicher"":[""32 GB""]}",False,
1059,computer pc komplettset angebot mit cd laufwerk,Computer,{},False,
13,fernseher 65 zoll samsung,Fernseher,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""65 - 69 Zoll""]}",False,
327,notebook 17 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""17 Zoll""]}",False,
99,tv lowboard 300cm breit,Other,{},False,
298,macbook air m2 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",False,
584,smartphone samsung,Mobiltelefone,"{""marke"":[""Samsung""]}",False,
1129,pc komplett set windows 11,Computer,"{""betriebssystem"":[""Windows""]}",False,
932,monitor 240 hz,Monitor,"{""bildschirmgroesse"":[""32 Zoll""],""bildwiederholungsfrequenz"":[""240 Hz""]}",False,
367,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",False,
751,samsung galaxy s23 ultra smartphone ohne vertrag,Mobiltelefone,"{""marke"":[""Samsung""],""modellreihe"":[""Galaxy S23""]}",False,
1008,computer bildschirm,Monitor,{},False,
1188,pc gaming komplette set günstig,Computer,"{""zubehoerfuer"":[""Gaming""]}",False,
771,Tablet,Tablets,{},False,
1117,hp pc mit windows 11 home,Computer,"{""marke"":[""HP""],""betriebssystem"":[""Windows""]}",False,
1216,pc komplett set gaming samsung,Computer,"{""marke"":[""Samsung""],""zubehoerfuer"":[""Gaming""]}",False,
867,ipad air 4,Tablets,"{""marke"":[""Apple""],""modellreihe"":[""iPad Air""]}",False,
221,laptop 15 zoll i5,Laptops,"{""prozessor"":[""Intel Core i5""],""bildschirmgroesse"":[""15 Zoll""]}",False,
787,tablet samsung s7,Tablets,"{""marke"":[""Samsung""]}",False,
1079,Desktop-PC,Computer,{},False,
182,laptop 17 zoll windows 11 i7,Laptops,"{""prozessor"":[""Intel Core i7""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",False,
748,samsung galaxy s23 ultra hülle original samsung,Other,"{""marke"":[""Samsung""]}",False,
727,samsung galaxy s24 ultra handyhülle,Other,"{""marke"":[""Samsung""]}",False,
487,iphone 15 pro max hülle mit kameraschutz,Other,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 15 Pro""]}",False,
228,laptop 15 zoll i7,Laptops,"{""prozessor"":[""Intel Core i7""],""bildschirmgroesse"":[""15 Zoll""]}",False,
1061,computer pc komplettset angebot hp,Computer,"{""marke"":[""HP""]}",False,
50,fernseher 55 zoll sony,Fernseher,"{""marke"":[""Sony""],""bildschirmgroesse"":[""55 - 59 Zoll""]}",False,
642,handys ohne vertrag xiaomi,Mobiltelefone,"{""marke"":[""Xiaomi""]}",False,
699,samsung galaxy s22,Mobiltelefone,"{""marke"":[""Samsung""],""modellreihe"":[""Galaxy S22""]}",False,
387,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",False,
625,mobiltelefon mit tastatur,Mobiltelefone,{},False,
852,ipad pro 12.9,Tablets,"{""marke"":[""Apple""],""modellreihe"":[""iPad Pro""]}",False,
798,tablet samsung s9 ultra 5g hülle,Other,"{""marke"":[""Samsung""]}",False,
468,iphone 13,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 13""]}",False,
401,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",False,
204,laptop 15 zoll gaming,Laptops,"{""zubehoerfuer"":[""Gaming""],""bildschirmgroesse"":[""15 Zoll""]}",False,
547,smartphone huawei,Mobiltelefone,"{""marke"":[""Huawei""]}",False,
843,ipad mit tastatur und stift apple,Tablets,"{""marke"":[""Apple""],""ausstattung"":[""Stifteingabe""],""modellreihe"":[""iPad""]}",False,
823,tablet apple mini,Tablets,"{""marke"":[""Apple""]}",False,
